Graphics v 0.2.5 ';' exported '2021-12-22 09:38:36'
;Record #0;;;;;;;;;
;Cycle #3;"";;;;;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;Comp. Th.;Slope;detect H-AE-3010;
0.57;0;0;6;398.42;16.6182;25.0461;100;-24.6157;3.58783;
0.573333;0;0;6;398.675;17.4073;25.0461;100;-25.91;3.50343;
0.576667;0;0;6;402.069;16.261;25.0461;100;-25.91;3.38763;
0.58;0;0;6;401.099;17.2758;25.0461;100;-26.4136;3.35231;
0.583333;0;0;6;400.232;16.6752;25.0442;100;-26.4472;3.27772;
0.586667;0;0;6;400.129;17.5486;25.0461;100;-26.4472;3.20118;
0.59;0;0;6;398.956;17.3072;25.0442;100;-26.1399;3.13641;
0.593333;0;0;6;401.074;17.5584;25.0422;100;-26.1399;3.05986;
0.596667;0;0;6;400.971;16.6752;25.0422;100;-25.7788;2.9892;
0.6;0;0;6;400.64;18.1315;25.0422;100;-25.3324;2.92836;
0.603333;0;0;6;399.109;16.7223;25.0402;100;-25.3324;2.85378;
0.606667;0;0;6;400.181;17.7527;25.0422;100;-24.8501;2.79686;
0.61;0;0;6;400.563;16.5613;25.0461;100;-24.3858;2.6948;
0.613333;0;0;6;402.171;17.9117;25.0461;100;-24.3858;2.66143;
0.616667;0;0;6;403.217;17.2129;25.0461;100;-23.8744;2.60255;
0.62;0;0;6;399.568;16.7242;25.0501;100;-23.8744;2.53975;
0.623333;0;0;6;398.701;16.4711;25.0481;100;-23.28;2.48283;
0.626667;0;0;6;398.292;16.4907;25.0481;100;-22.6642;2.4318;
0.63;0;0;6;402.349;17.894;25.052;100;-22.6642;2.34936;
0.633333;0;0;6;403.472;16.7694;25.054;100;-22.0418;2.29048;
0.636667;0;0;6;399.977;18.002;25.0658;100;-22.0418;2.27282;
0.64;0;0;6;399.823;16.6418;25.0736;100;-21.407;2.19627;
0.643333;0;0;6;399.721;17.3837;25.0814;100;-20.8608;2.16683;
0.646667;0;0;6;399.441;16.0903;25.0893;100;-20.8608;2.09421;
0.65;0;0;6;401.023;17.6232;25.0932;100;-20.2092;2.0687;
0.653333;0;0;6;400.002;16.579;25.0972;100;-20.2092;2;
0.656667;0;0;6;399.619;17.6075;25.1011;100;-19.6203;1.97252;
0.66;0;0;6;397.859;17.4171;25.1011;100;-19.017;1.94308;
0.663333;0;0;6;397.527;16.7733;25.103;100;-19.017;1.90775;
0.666667;0;0;6;400.257;18.1256;25.103;100;-18.3665;1.85672;
0.67;0;0;6;400.487;16.5064;25.105;100;-18.3665;1.80177;
0.673333;0;0;6;397.833;17.5034;25.105;100;-17.716;1.75859;
0.676667;0;0;6;398.675;15.9293;25.1089;100;-17.0744;1.72915;
0.68;0;0;6;400.41;16.7537;25.1089;100;-17.0744;1.70559;
0.683333;0;0;6;401.329;17.1855;25.107;100;-16.3656;1.6683;
0.686667;0;0;6;401.074;16.5613;25.105;100;-16.3656;1.63101;
0.69;0;0;6;400.563;17.4603;25.103;100;-15.6893;1.57606;
0.693333;0;0;6;400.487;17.3445;25.103;100;-15.1017;1.55054;
0.696667;0;0;6;399.007;17.9804;25.105;100;-15.1017;1.52895;
0.7;0;0;6;400.971;16.7341;25.103;100;-14.4837;1.49951;
0.703333;0;0;6;402.12;17.7566;25.103;100;-13.9263;1.45829;
0.706667;0;0;6;402.86;16.5142;25.1011;100;-13.9263;1.43278;
0.71;0;0;6;397.859;17.4387;25.1011;100;-13.3049;1.38763;
0.713333;0;0;6;398.344;16.7242;25.1011;100;-13.3049;1.36408;
0.716667;0;0;6;397.603;16.316;25.1011;100;-12.6813;1.34446;
0.72;0;0;6;399.288;17.7095;25.0991;100;-12.0858;1.31698;
0.723333;0;0;6;398.828;17.7664;25.0972;100;-12.0858;1.27772;
0.726667;0;0;6;396.915;17.5976;25.0972;100;-11.5732;1.23847;
0.73;0;0;6;398.139;16.6084;25.0972;100;-11.0831;1.23258;
0.733333;0;0;6;399.211;17.8705;25.0893;100;-11.0831;1.19529;
0.736667;0;0;6;400.819;16.4691;25.0834;100;-10.6682;1.1737;
0.74;0;0;6;400.87;17.5564;25.0756;100;-10.2678;1.14819;
0.743333;0;0;6;400.512;17.0756;25.0736;100;-10.2678;1.12463;
0.746667;0;0;6;397.527;16.577;25.0677;100;-9.85728;1.10304;
0.75;0;0;6;398.241;17.7527;25.0638;100;-9.47932;1.07556;
0.753333;0;0;6;401.431;17.4779;25.0579;100;-9.47932;1.06379;
0.756667;0;0;6;401.201;17.5486;25.0442;100;-9.06771;1.02453;
0.76;0;0;6;403.115;16.6477;25.0402;100;-9.06771;1.01276;
0.763333;0;0;6;400.359;17.8077;25.0304;100;-8.64488;1.00294;
0.766667;0;0;6;398.599;16.1178;25.0186;100;-8.26917;0.96369;
0.77;0;0;6;399.594;17.0088;25.0167;100;-8.26917;0.949951;
0.773333;0;0;6;402.451;17.2326;25.0088;100;-7.97196;0.926398;
0.776667;0;0;6;402.962;17.9666;25.0049;100;-7.97196;2.51816;
0.78;0;0;6;399.747;17.7664;25.0069;100;-3.1224;8.64573;
0.783333;0;0;6;398.905;16.632;25.0069;100;39.8015;14.8616;
0.786667;0;0;6;399.109;17.9921;25.0108;100;39.8015;14.844;
0.79;0;0;6;398.803;16.632;25.0128;100;103.019;12.6948;
0.793333;0;0;6;399.109;17.2561;25.0128;100;166.523;12.2532;
0.796667;0;0;6;401.482;16.3945;25.0147;100;166.523;12.0393;
0.8;0;0;6;398.292;17.5329;25.0128;100;214.674;11.6585;
0.803333;0;0;6;399.185;16.8165;25.0147;100;214.674;11.3523;
0.806667;0;0;6;398.701;16.84;25.0167;100;233.669;10.736;
0.81;0;0;6;402.834;16.9892;25.0167;100;216.165;10.2571;
0.813333;0;0;6;401.329;16.8538;25.0186;100;216.165;10.1335;
0.816667;0;0;6;399.39;18.3219;25.0186;100;201.256;9.96271;
0.82;0;0;6;399.492;16.7203;25.0186;100;201.256;9.86654;
0.823333;0;0;6;399.237;17.9176;25.0186;100;191.095;9.75859;
0.826667;0;0;6;399.9;16.632;25.0245;100;183.648;9.67223;
0.83;0;0;6;400.334;17.7036;25.0285;100;183.648;9.6526;
0.833333;0;0;6;400.078;16.6732;25.0343;100;173.953;9.61138;
0.836667;0;0;6;396.736;17.0069;25.0383;100;128.385;9.49362;
0.84;0;0;6;399.543;16.6143;25.0442;100;128.385;9.47203;
0.843333;0;0;6;400.665;17.9509;25.0481;100;63.7218;9.19136;
0.846667;0;0;6;402.018;18.2375;25.0481;100;-2.58855;8.71443;
0.85;0;0;6;403.166;16.6693;25.052;100;-2.58855;7.33661;
0.853333;0;0;6;400.078;18.1492;25.054;100;-60.2843;6.63788;
0.856667;0;0;6;399.109;16.3396;25.0579;100;-60.2843;6.17664;
0.86;0;0;6;398.905;17.3366;25.0599;100;-93.6379;6.07262;
0.863333;0;0;6;399.721;16.1001;25.0618;100;-94.3356;5.23258;
0.866667;0;0;6;402.579;18.108;25.0618;100;-94.3356;6.83611;
0.87;0;0;6;399.313;17.3955;25.0618;100;-90.0637;6.54956;
0.873333;0;0;6;398.879;17.788;25.0658;100;-88.4553;4.53974;
0.876667;0;0;6;399.747;18.0196;25.0658;100;-88.4553;4.06281;
0.88;0;0;6;400.614;17.1443;25.0697;100;-88.0942;3.74877;
